date,open,high,low,close
2009-07-01,3486.1,3513.8,3426.7,3503.65
2009-07-02,3529.9,3552.7,3483.35,3526.7
2009-07-03,3498.6,3574.65,3498.6,3568.05
2009-07-06,3583.9,3614.35,3357.95,3374.15
2009-07-07,3384.7,3415.45,3341.05,3382.8
2009-07-08,3356.9,3356.9,3265.65,3295.1
2009-07-09,3303.05,3329.35,3273.05,3306.05
2009-07-10,3317.65,3338.5,3228.95,3244.9
2009-07-13,3202.8,3211.15,3166.15,3198.5
2009-07-14,3256.35,3324.1,3256.35,3313.1
2009-07-15,3351.75,3443.9,3347.5,3435.7
2009-07-16,3489.25,3489.25,3425.05,3442.55
2009-07-17,3480.4,3553.15,3480.4,3542.2
2009-07-20,3591.35,3634.3,3567.65,3630.95
2009-07-21,3618.9,3636.2,3583.0,3602.95
2009-07-22,3625.2,3670.1,3550.65,3565.0
2009-07-23,3589.0,3650.1,3589.0,3646.25
2009-07-24,3678.05,3693.75,3644.7,3689.65
2009-07-27,3694.85,3722.15,3674.1,3708.0
2009-07-28,3727.95,3749.7,3700.2,3726.15
2009-07-29,3711.3,3742.25,3611.25,3685.65
2009-07-30,3680.8,3725.6,3657.45,3721.35
2009-07-31,3760.6,3799.65,3734.1,3764.1
2009-08-03,3778.05,3830.3,3764.15,3823.8
2009-08-04,3816.6,3843.35,3778.2,3806.2
2009-08-05,3824.8,3840.8,3783.85,3827.3
2009-08-06,3816.05,3855.35,3732.6,3742.55
2009-08-07,3709.25,3744.15,3652.2,3663.6
2009-08-10,3685.25,3714.05,3602.5,3625.0
2009-08-11,3620.1,3681.6,3603.15,3647.75
2009-08-12,3606.3,3646.85,3567.9,3641.0
2009-08-13,3701.5,3762.45,3697.9,3758.15
2009-08-14,3762.5,3779.45,3739.4,3749.6
2009-08-17,3713.35,3713.35,3596.95,3606.25
2009-08-18,3620.95,3686.45,3606.1,3665.75
2009-08-19,3673.85,3688.95,3589.35,3607.05
2009-08-20,3654.8,3675.6,3644.95,3650.9
2009-08-21,3627.85,3705.85,3618.4,3701.05
2009-08-24,3748.75,3787.75,3748.75,3779.55
2009-08-25,3758.45,3799.75,3744.2,3794.5
2009-08-26,3813.3,3832.2,3807.8,3820.75
2009-08-27,3809.6,3852.65,3809.6,3831.9
2009-08-28,3843.6,3871.25,3811.35,3864.4
2009-08-31,3819.05,3867.9,3819.05,3840.25
2009-09-01,3871.0,3892.8,3790.8,3803.2
2009-09-02,3779.1,3823.65,3779.1,3788.95
2009-09-03,3819.45,3827.0,3775.05,3784.45
2009-09-04,3803.9,3845.95,3774.75,3837.8
2009-09-07,3875.6,3927.25,3873.65,3924.1
2009-09-08,3954.95,3960.85,3918.1,3929.65
2009-09-09,3925.4,3946.25,3905.45,3925.4
2009-09-10,3958.4,3979.85,3914.05,3922.35
2009-09-11,3941.5,3946.15,3888.35,3914.05
